time,open,high,low,close,Volume,Volume MA
2018-04-09T00:00:00Z,400.4,431.99,387.1,399.44,151653.50413,128811.46761250004
2018-04-10T00:00:00Z,399.25,418.68,391.4,416.07,81394.29605,127030.22375450004
2018-04-11T00:00:00Z,415.53,433.54,410.38,429.52,86706.68627,125810.24811000004
2018-04-12T00:00:00Z,429.9,499,412.88,495.67,249766.38316,132978.52135250004
2018-04-13T00:00:00Z,494.3,530,480.22,495.11,251752.08782,141180.58627100004
2018-04-14T00:00:00Z,494.69,515,485.58,502.68,121283.3338,143649.59439600006
2018-04-15T00:00:00Z,502.68,535,502.51,533.88,108736.97902,141533.58187500006
2018-04-16T00:00:00Z,533.88,538,497.31,511.46,130359.52549,141142.12012850004
2018-04-17T00:00:00Z,512.09,521.2,500.02,502.56,96541.96382,141474.44437700004
2018-04-18T00:00:00Z,502.56,526.99,501.12,526.09,73161.95251,133865.44484450007
2018-04-19T00:00:00Z,526.49,571.61,521.03,568.14,112235.77328,124864.49379000005
2018-04-20T00:00:00Z,568.14,622.17,556.5,617.09,160209.03951,124483.26606600005
2018-04-21T00:00:00Z,616.8,624.5,570.23,604.87,159364.95353,124926.81403150006
2018-04-22T00:00:00Z,604.87,643.49,589,620.92,120127.3728,125271.07557600006
2018-04-23T00:00:00Z,620.67,649.11,618.02,645.09,77475.70793,122249.98319000006
2018-04-24T00:00:00Z,644.58,712.99,643.76,701.58,171437.66972,123791.94684200005
2018-04-25T00:00:00Z,701.16,703.3,593.83,618,341439.50428,134848.21911850007
2018-04-26T00:00:00Z,617.73,666.19,600,661.51,155754.00815,138912.98495550005
2018-04-27T00:00:00Z,661.51,686.82,635.73,643.46,134803.48389,142079.98772600005
2018-04-28T00:00:00Z,643.41,694.9,638.76,682.86,113128.36337,144866.62942650003
2018-04-29T00:00:00Z,683.5,700.49,665.28,690.85,110020.23869,142784.96615450006
2018-04-30T00:00:00Z,690.85,695.3,662.2,670.78,112494.9172,144339.99721200005
2018-05-01T00:00:00Z,670.78,675.6,627.58,672,133123.66675,146660.84623600004
2018-05-02T00:00:00Z,671.99,691.99,663,688.56,86185.5033,138481.80224300004
2018-05-03T00:00:00Z,688.55,792.08,685.39,779,229419.209,137365.15830200003
2018-05-04T00:00:00Z,779,810,756.91,785.99,179924.40215,140297.21171950002
2018-05-05T00:00:00Z,785.8,832.66,781.56,819.5,128631.18764,141291.92215050003
2018-05-06T00:00:00Z,819.5,839.99,752.49,794.3,166871.16002,143117.503877
2018-05-07T00:00:00Z,794.3,799.14,701,752.49,284237.06328,152502.25885
2018-05-08T00:00:00Z,753,777,720.02,748.99,135106.19621,155599.471035
2018-05-09T00:00:00Z,748.99,760.74,710.26,751.75,112353.37758,155605.35125
2018-05-10T00:00:00Z,752.4,769.88,720,722.52,102019.29933,152695.864241
2018-05-11T00:00:00Z,722.52,737.23,663,676.96,216953.54991,155575.29406000001
2018-05-12T00:00:00Z,676.96,690.2,633.2,684.11,166801.07487,157908.97916350001
2018-05-13T00:00:00Z,684.56,742,666.31,729.08,136022.39207,160836.31337050002
2018-05-14T00:00:00Z,729.08,743.9,686,727.49,183466.9224,161437.77600450002
2018-05-15T00:00:00Z,727.49,740,695,704.91,127191.21863,150725.361722
2018-05-16T00:00:00Z,704.91,712.84,673.52,706.29,118902.43895,148882.783262
2018-05-17T00:00:00Z,706.8,719.25,662,667.62,106723.38375,147478.778255
2018-05-18T00:00:00Z,667.62,694.9,656,692.6,106541.66307,147149.44324
2018-05-19T00:00:00Z,693.26,717.8,682.31,697,88828.85641,146089.874126
2018-05-20T00:00:00Z,697,729.88,688.4,716.16,86004.7409,144765.365311
2018-05-21T00:00:00Z,716.16,720.46,688,696.7,96085.15451,142913.439699
2018-05-22T00:00:00Z,697.1,699.6,637.32,640.99,107059.5769,143957.14337900002
2018-05-23T00:00:00Z,640.86,669,560,577.19,257084.58112,145340.41198500004
